YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2006,,179,245000,F/B marketplace
2004,,150000,22000,F/B marketplace
2002,,68,33000,F/B marketplace
1996,,175000,10000,F/B marketplace
2000,,153,4000,F/B marketplace
2006,,108111,20940,cargurus
2004,,16995,92065,cargurus
2009,,72631,32500,cargurus
2008,,72270,34880,cargurus
2011,,68321,27497,cargurus
2010,,70957,24998,cargurus
1999,,124758,19489,carfax
2004,,92065,16995,carfax
2008,,72270,34880,Autotrader
2023,,10102,84961,Autotrader
2022,,32206,67900,Autotrader
2024,,12815,86388,Autotrader
2022,,17101,78999,Autotrader
2017,,46772,53990,Autotrader
