YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2006,19,179,24500,F/B marketplace
2004,21,150000,22000,F/B marketplace
2002,23,68,33000,F/B marketplace
1996,29,175000,10000,F/B marketplace
2000,25,153,4000,F/B marketplace
2006,19,108111,20940,cargurus
2004,21,16995,92065,cargurus
2009,16,72631,32500,cargurus
2008,17,72270,34880,cargurus
2011,14,68321,27497,cargurus
2010,15,70957,24998,cargurus
1999,26,124758,19489,carfax
2004,21,92065,16995,carfax
2008,17,72270,34880,Autotrader
2023,2,10102,84961,Autotrader
2022,3,32206,67900,Autotrader
2024,1,12815,86388,Autotrader
2022,3,17101,78999,Autotrader
2017,8,46772,53990,Autotrader
